epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5074,1.91971,4.41687,1.22846,0.00357,0.40053,0.10643,0.10342,1.33202,4.26405,1.00151,8.888e-05,8.888e-05,8.888e-05
2,74.7132,1.26267,2.24526,0.99239,0.00868,0.43118,0.30398,0.2683,1.30732,3.8651,0.9348,0.00018513,0.00018513,0.00018513
3,111.977,1.00797,1.30219,0.92407,0.01375,0.58263,0.40861,0.34869,0.78625,3.47764,0.86567,0.000277421,0.000277421,0.000277421
4,149.322,0.92022,1.06546,0.88969,0.01606,0.76793,0.6071,0.47802,0.71309,3.30311,0.85533,0.000365752,0.000365752,0.000365752
5,186.364,0.80816,0.95048,0.86272,0.01814,0.90172,0.76413,0.60513,0.65656,2.8649,0.85589,0.000450124,0.000450124,0.000450124
6,223.459,0.77718,0.85779,0.86762,0.85171,0.60955,0.88555,0.67046,0.70226,2.4628,0.86634,0.000530536,0.000530536,0.000530536
7,260.414,0.84858,0.83948,0.88683,0.91725,0.40306,0.91317,0.73183,0.61025,2.31592,0.85581,0.000606988,0.000606988,0.000606988
8,297.416,0.75137,0.76372,0.86088,0.92947,0.59514,0.94923,0.7988,0.65659,1.88336,0.85847,0.000679481,0.000679481,0.000679481
9,334.327,0.77459,0.72014,0.84312,0.89019,0.89532,0.96761,0.7749,0.60282,1.4348,0.8527,0.000748014,0.000748014,0.000748014
10,371.234,0.64535,0.70974,0.84935,0.89724,0.93559,0.96198,0.78007,0.58679,1.53602,0.83681,0.000812588,0.000812588,0.000812588
11,408.126,0.62993,0.68396,0.84364,0.92623,0.91331,0.96693,0.78322,0.50352,1.51719,0.82756,0.000873202,0.000873202,0.000873202
12,445.159,0.73591,0.68177,0.84574,0.92468,0.93459,0.96989,0.79127,0.53847,0.96332,0.823,0.000869024,0.000869024,0.000869024
13,482.186,0.62442,0.64502,0.83533,0.91246,0.94141,0.97849,0.80468,0.56742,0.78555,0.8242,0.000847026,0.000847026,0.000847026
14,519.365,0.59987,0.62801,0.83413,0.95553,0.9503,0.98101,0.77792,0.44332,0.72391,0.81049,0.000825029,0.000825029,0.000825029
15,556.516,0.5757,0.60763,0.82884,0.94463,0.96067,0.98138,0.77811,0.49945,0.7583,0.81206,0.000803031,0.000803031,0.000803031
16,593.711,0.55924,0.57505,0.8188,0.9419,0.96237,0.98212,0.77516,0.40549,0.68363,0.80267,0.000781033,0.000781033,0.000781033
17,630.853,0.5297,0.56618,0.81857,0.93689,0.95699,0.98543,0.7906,0.47841,0.5967,0.8072,0.000759035,0.000759035,0.000759035
18,668.116,0.52867,0.54637,0.8089,0.9388,0.93363,0.98427,0.82156,0.37437,0.54623,0.79964,0.000737037,0.000737037,0.000737037
19,705.358,0.52454,0.55672,0.82114,0.86399,0.9594,0.98452,0.79065,0.55352,0.58614,0.81361,0.00071504,0.00071504,0.00071504
20,742.375,0.49727,0.52758,0.8066,0.87056,0.9624,0.98489,0.81914,0.43759,0.53982,0.80367,0.000693042,0.000693042,0.000693042
21,779.375,0.49479,0.51483,0.80667,0.873,0.97313,0.98517,0.83054,0.43917,0.49879,0.80339,0.000671044,0.000671044,0.000671044
22,816.216,0.48706,0.50932,0.8195,0.9134,0.97338,0.98553,0.8115,0.39572,0.47071,0.80166,0.000649046,0.000649046,0.000649046
23,853.029,0.4683,0.49704,0.80531,0.96301,0.96718,0.98533,0.83418,0.41122,0.48208,0.80074,0.000627048,0.000627048,0.000627048
24,889.839,0.46483,0.4962,0.81108,0.9262,0.97379,0.98643,0.85687,0.34464,0.51051,0.79495,0.000605051,0.000605051,0.000605051
25,926.722,0.42719,0.48281,0.807,0.93314,0.97411,0.98706,0.82937,0.32294,0.44641,0.79202,0.000583053,0.000583053,0.000583053
26,963.642,0.40839,0.45966,0.79647,0.91626,0.95746,0.98667,0.8239,0.37964,0.43611,0.79764,0.000561055,0.000561055,0.000561055
27,1000.5,0.38791,0.43374,0.79536,0.93313,0.97541,0.98678,0.85405,0.31677,0.39901,0.79355,0.000539057,0.000539057,0.000539057
28,1037.64,0.39292,0.45038,0.80646,0.95782,0.97413,0.98703,0.85364,0.30394,0.40752,0.7909,0.000517059,0.000517059,0.000517059
29,1074.84,0.39282,0.44947,0.80238,0.95308,0.96747,0.98718,0.8565,0.31841,0.41268,0.79151,0.000495062,0.000495062,0.000495062
30,1111.91,0.38749,0.4268,0.79431,0.95223,0.9719,0.98712,0.85881,0.29323,0.39047,0.79103,0.000473064,0.000473064,0.000473064
31,1149.06,0.41396,0.46033,0.80383,0.9468,0.97636,0.98741,0.86004,0.37637,0.4206,0.79446,0.000451066,0.000451066,0.000451066
32,1186.16,0.39229,0.43268,0.79956,0.9485,0.9737,0.98751,0.87186,0.28745,0.4094,0.79065,0.000429068,0.000429068,0.000429068
33,1223.1,0.38205,0.42981,0.79759,0.95523,0.97608,0.98787,0.87232,0.27865,0.40771,0.78965,0.00040707,0.00040707,0.00040707
34,1260.28,0.35888,0.41771,0.80144,0.9564,0.97138,0.98741,0.85912,0.26845,0.37977,0.78948,0.000385073,0.000385073,0.000385073
35,1297.34,0.36707,0.41969,0.79663,0.9332,0.97497,0.98755,0.8597,0.2865,0.37309,0.79209,0.000363075,0.000363075,0.000363075
36,1844.56,0.35459,0.40436,0.80723,0.95818,0.97753,0.9875,0.87437,0.29715,0.37133,0.79896,0.000341077,0.000341077,0.000341077
37,2513.72,0.38436,0.41587,0.80303,0.97541,0.9729,0.98736,0.84398,0.32756,0.38313,0.80939,0.000319079,0.000319079,0.000319079
38,2549.92,0.39755,0.41403,0.80938,0.98351,0.97056,0.98746,0.84003,0.31951,0.38885,0.81299,0.000297081,0.000297081,0.000297081
39,2586.31,0.37389,0.40061,0.79838,0.97833,0.97733,0.9873,0.84915,0.30622,0.37391,0.80998,0.000275084,0.000275084,0.000275084
40,2622.84,0.36579,0.39863,0.80928,0.96449,0.97834,0.98759,0.88068,0.29392,0.36146,0.80221,0.000253086,0.000253086,0.000253086
41,2659.49,0.34201,0.43105,0.80036,0.96211,0.98268,0.9876,0.87808,0.30161,0.37656,0.80014,0.000231088,0.000231088,0.000231088
42,2696.06,0.34119,0.43152,0.8085,0.96696,0.98326,0.98771,0.88151,0.30402,0.42744,0.8005,0.00020909,0.00020909,0.00020909
43,2732.58,0.34896,0.43452,0.79718,0.97188,0.98309,0.98766,0.88663,0.29311,0.40905,0.79989,0.000187092,0.000187092,0.000187092
44,2769.18,0.32056,0.4124,0.7995,0.95583,0.98094,0.98735,0.89168,0.27914,0.34617,0.80163,0.000165095,0.000165095,0.000165095
45,2805.84,0.3365,0.40402,0.80023,0.95221,0.97662,0.98653,0.88775,0.28565,0.34958,0.80435,0.000143097,0.000143097,0.000143097
46,2842.68,0.32481,0.39248,0.80383,0.95737,0.97665,0.98678,0.89498,0.29951,0.35014,0.80489,0.000121099,0.000121099,0.000121099
