epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.2,0.3,0.26359,0.78405,0.97528,0.97432,0.98837,0.97022,0.23338,0.25143,0.76923,0.000360838,0.000360838,0.000360838
2,390.454,0.27965,0.23875,0.77922,0.98113,0.98139,0.98953,0.96085,0.23478,0.23011,0.76808,0.000694978,0.000694978,0.000694978
3,581.001,0.30835,0.24822,0.77998,0.98006,0.98531,0.98892,0.96636,0.27845,0.25915,0.76673,0.000992455,0.000992455,0.000992455
4,764.881,0.31136,0.24607,0.78106,0.97902,0.98606,0.98988,0.96854,0.26718,0.23713,0.76799,0.000946016,0.000946016,0.000946016
5,948.757,0.29989,0.23683,0.77887,0.97971,0.98348,0.98935,0.96909,0.2734,0.23619,0.76946,0.000891022,0.000891022,0.000891022
6,1139.85,0.29874,0.23639,0.77735,0.98543,0.98903,0.98997,0.97783,0.20353,0.21346,0.764,0.000836027,0.000836027,0.000836027
7,1329.93,0.27706,0.22576,0.77744,0.98149,0.98614,0.99048,0.9766,0.19575,0.20853,0.76566,0.000781033,0.000781033,0.000781033
8,1536.34,0.29293,0.22941,0.77671,0.98331,0.98719,0.98982,0.97244,0.25752,0.23719,0.76569,0.000726038,0.000726038,0.000726038
9,1728.86,0.27046,0.21774,0.77631,0.98264,0.98596,0.99053,0.97885,0.20723,0.20683,0.7654,0.000671044,0.000671044,0.000671044
10,1914.51,0.26784,0.21384,0.7756,0.9871,0.98794,0.99038,0.97969,0.23856,0.22078,0.76627,0.000616049,0.000616049,0.000616049
11,2097.09,0.24574,0.20366,0.77567,0.98147,0.9876,0.99091,0.97813,0.21904,0.2187,0.76319,0.000561055,0.000561055,0.000561055
12,2285.99,0.23433,0.19624,0.77153,0.98472,0.98667,0.99073,0.96839,0.23585,0.21939,0.76602,0.00050606,0.00050606,0.00050606
13,2477.75,0.21627,0.18471,0.77156,0.98313,0.98645,0.9911,0.97849,0.20264,0.20738,0.763,0.000451066,0.000451066,0.000451066
14,2663.26,0.20756,0.17905,0.77099,0.98552,0.99111,0.98968,0.97977,0.17831,0.18982,0.7626,0.000396071,0.000396071,0.000396071
15,2847.69,0.20145,0.17805,0.77141,0.98655,0.98861,0.99069,0.97939,0.20501,0.20755,0.76254,0.000341077,0.000341077,0.000341077
16,3040.99,0.20085,0.17314,0.77131,0.98576,0.99261,0.99047,0.98083,0.197,0.19755,0.76348,0.000286083,0.000286083,0.000286083
17,3225.85,0.19438,0.16926,0.76918,0.98252,0.98848,0.99086,0.98085,0.17079,0.18411,0.76145,0.000231088,0.000231088,0.000231088
18,3409.47,0.19054,0.16433,0.77302,0.98122,0.988,0.99035,0.98033,0.15905,0.18102,0.76144,0.000176094,0.000176094,0.000176094
19,3591.96,0.18257,0.16115,0.76816,0.98249,0.99698,0.99072,0.98262,0.15524,0.17882,0.76097,0.000121099,0.000121099,0.000121099
20,3776.45,0.17588,0.1582,0.77044,0.98191,0.99002,0.99094,0.98254,0.15346,0.17743,0.76106,6.61045e-05,6.61045e-05,6.61045e-05
